CMPD_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,STANDARD_VALUE,STANDARD_UNITS,LogS,PUBLISHED_TYPE
CHEMBL439344,CC(C)Oc1cc(O[C@H](C)Cc2ccccc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,Solubility,8500,nM,5.070581074,Solubility
CHEMBL256996,C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5cscn5)c3)c12)C(=O)N(C)C,Solubility,42700,nM,4.369572125,Solubility
CHEMBL1270280,CN(c1ccnc(Nc2cc(nc(c2)N3CCOCC3)N4CCOCC4)n1)c5cccc6[nH]ncc56,Solubility,800,nM,6.096910013,Solubility
CHEMBL1934415,C[C@H](NC(=O)c1c(C)nn(C2CCCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,Solubility,871000,nM,3.059981845,Solubility
CHEMBL255170,Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2Cl)cn1,Solubility,28200,nM,4.549750892,Solubility
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3,Solubility,28200,nM,4.549750892,Solubility
CHEMBL2030799,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3ccc(F)cc3Cl)C(=O)O)cc2)n1,Solubility,467700,nM,3.33003263,Solubility
CHEMBL941,CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1,Solubility,22900,nM,4.640164518,Solubility
CHEMBL2010830,CCN(C1CCN(Cc2ccc(cc2)C(F)(F)F)CC1)C(=O)Cc3ccc(cc3)S(=O)(=O)C,Solubility,8900,nM,5.050609993,Solubility
CHEMBL1762534,COc1cccc(n1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2,Solubility,15500,nM,4.809668302,Solubility
CHEMBL145128,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@@H](Sc1ccccc1)C(=O)NO)C(C)(C)C,Solubility,83200,nM,4.079876674,Solubility
CHEMBL2010849,CN([C@@H]1CCN(Cc2ccc(nc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,Solubility,95500,nM,4.019996628,Solubility
CHEMBL383723,CNC(=O)Nc1cc(sc1C(=O)N)c2ccccc2,Solubility,1100,nM,5.958607315,Solubility
CHEMBL407848,Cn1c(ccc1c2cc(F)c3NC(=O)C(C)(C)c3c2)C#N,Solubility,5400,nM,5.26760624,Solubility
CHEMBL255863,Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F,Solubility,1100,nM,5.958607315,Solubility
CHEMBL98345,ONC(=O)c1ccc(NS(=O)(=O)c2ccccc2)cc1,Solubility,316200,nM,3.500038134,Solubility
CHEMBL130008,OC(=O)c1cc2c(F)cccc2n1Cc3ccc(Cl)c(Cl)c3,Solubility,524800,nM,3.280006174,Solubility
CHEMBL2031461,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(ccc4C)C(=O)Nc5ccon5,Solubility,57500,nM,4.240332155,Solubility
CHEMBL217464,CN1CCC(CC1)Oc2cc(OCCF)cc3ncnc(Nc4c(Cl)ccc5OCOc45)c23,Solubility,758600,nM,3.119987162,Solubility
CHEMBL429682,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3nc(NS(=O)(=O)C)sc13,Solubility,831800,nM,3.079981084,Solubility
CHEMBL1269858,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cccc6[nH]ncc56,Solubility,8900,nM,5.050609993,Solubility
CHEMBL97771,COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,Solubility,300,nM,6.522878745,Solubility
CHEMBL436968,CC(C)Oc1cc(OCCN2CCOCC2)cc3ncnc(Nc4c(Cl)ccc5OCOc45)c13,Solubility,4400,nM,5.356547324,Solubility
CHEMBL1736763,O=C(CN1CCOCC1)Nc2c(cnn2c3ccccc3)C#N,Solubility,1023300,nM,2.989997026,Solubility
CHEMBL1835910,CCOC(=O)c1ccc(OCC2CN(C2)c3ccc(C)nn3)cc1,Solubility,141300,nM,3.849857838,Solubility
CHEMBL11009,Cc1cc(C)cc(c1)c2[nH]c3ccccc3c2CCNCCCCc4ccncc4,Solubility,158500,nM,3.799970733,Solubility
CHEMBL1762155,CC1(C)N(Cc2ccncc2)C(=O)N(C1=O)c3ccc(SC(F)(F)F)cc3,Solubility,43700,nM,4.359518563,Solubility
CHEMBL1824376,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4ccccn4)c1,Solubility,512900,nM,3.289967301,Solubility
CHEMBL1075,CCOC(=O)Nc1ccc2Sc3ccccc3N(C(=O)CCN4CCOCC4)c2c1,Solubility,83200,nM,4.079876674,Solubility
CHEMBL1762541,CN(c1ccnc(Nc2cc(CN3CCOCC3)cc(c2)N4CCOCC4)n1)c5cc(CO)ccc5C,Solubility,371500,nM,3.430041182,Solubility
CHEMBL2062774,CCOc1noc2cc(OCCC3CCN(CC3)c4ccc(C)nn4)ccc12,Solubility,2900,nM,5.537602002,Solubility
CHEMBL103667,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCCN4CCOCC4)c5ccccc35)C(C)(C)C,Solubility,600,nM,6.22184875,Solubility
CHEMBL264502,Cc1ccc(NC(=O)c2cccc(c2)N3CCOCC3)cc1NC(=O)c4ccc(OCc5csc(C)n5)cc4,Solubility,1000,nM,6,Solubility
CHEMBL1944690,O[C@@H](CNCCc1cccc(CNCCc2ccccc2Cl)c1)c3ccc(O)c4NC(=O)Sc34,Solubility,117500,nM,3.929962133,Solubility
CHEMBL201307,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN5CCC(CO)CC5,Solubility,26900,nM,4.57024772,Solubility
CHEMBL578061,N(c1ccccc1)c2ccnc(Nc3ccccc3)n2,Solubility,15100,nM,4.821023053,Solubility
CHEMBL1340091,O=S(=O)(Nc1ccc(cc1)S(=O)(=O)Nc2nccs2)c3ccc4OCCOc4c3,Solubility,700,nM,6.15490196,Solubility
CHEMBL13589,Nc1ncnc(Nc2ccccc2)n1,Solubility,245500,nM,3.609948504,Solubility
CHEMBL1669161,C=CCOc1cc(ccc1NC(=O)CN2CCOCC2)c3cccc4C(=O)C=C(Oc34)N5CCOCC5,Solubility,4700,nM,5.327902142,Solubility
CHEMBL452824,CCOC(=O)C1CCN(CC1)c2ncnc(Oc3ccc(CCC(=O)C)cc3)c2[N+](=O)[O-],Solubility,1900,nM,5.721246399,Solubility
CHEMBL1454596,CCOC(=O)Cc1csc(NS(=O)(=O)c2ccc(Cl)cc2)n1,Solubility,416900,nM,3.379968105,Solubility
CHEMBL1762533,COc1ccnc(c1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2,Solubility,51300,nM,4.289882635,Solubility
CHEMBL2086676,Cc1cc(COc2cnc(nc2)N3CCN(CC3)C(=O)OC(C)(C)C)ccn1,Solubility,66100,nM,4.179798541,Solubility
CHEMBL1563607,Cc1onc(c2ccccc2)c1C(=O)OCC(=O)c3ccccc3,Solubility,2000,nM,5.698970004,Solubility
CHEMBL17157,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,Solubility,5400,nM,5.26760624,Solubility
CHEMBL1608626,CCOc1ccccc1C(=O)N2CCC(CC2)C(=O)c3ccc(F)cc3,Solubility,5800,nM,5.236572006,Solubility
CHEMBL2023475,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4ccc(F)cc34)cc2OC)cn1,Solubility,20000,nM,4.698970004,Solubility
CHEMBL203567,Nc1c(cnn1c2ccc(F)cc2)C(=O)c3cccc(OC[C@@H](O)CO)c3,Solubility,107200,nM,3.969805215,Solubility
CHEMBL1233652,OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3,Solubility,85100,nM,4.07007044,Solubility
CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4,Solubility,1445400,nM,2.84001195,Solubility
CHEMBL203295,COc1cc(OC2CCN(C)CC2)c3c(Nc4ccc(F)c(Cl)c4)ncnc3c1,Solubility,2100,nM,5.677780705,Solubility
CHEMBL254359,Nc1ccccc1NC(=O)c2ccc(cc2)N3CCOCC3,Solubility,182000,nM,3.739928612,Solubility
CHEMBL1079428,Cn1cnc(c2ccccc2)c1c3cc4c(N)ncnc4s3,Solubility,85100,nM,4.07007044,Solubility
CHEMBL176410,[O-][N+](=O)c1ccc(CCl)cc1,Solubility,501200,nM,3.299988938,Solubility
CHEMBL373013,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCNCCO,Solubility,400,nM,6.397940009,Solubility
CHEMBL2325742,C[C@@H](NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,Solubility,77600,nM,4.110138279,Solubility
CHEMBL1857945,CN(C)CCNc1cc(nc2cc(nn12)c3ccc(F)cc3)c4ccccc4,Solubility,2100,nM,5.677780705,Solubility
CHEMBL2086694,C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)c4noc(n4)C(F)F,Solubility,3100,nM,5.508638306,Solubility
CHEMBL553,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC,Solubility,4200,nM,5.37675071,Solubility
CHEMBL1934270,C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)C(C)(C)C)C(C)(C)C,Solubility,512900,nM,3.289967301,Solubility
CHEMBL393717,Clc1ccc(cc1C(=O)NCC23CC4CC(CC(C4)C2)C3)N5CCNCC5,Solubility,223900,nM,3.649945906,Solubility
CHEMBL1271187,C1CN(CCO1)c2cc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc(c2)N6CCOCC6,Solubility,2500,nM,5.602059991,Solubility
CHEMBL1778354,COC[C@H](C)Oc1cc(O[C@@H](C)Cc2ccc(F)cc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,Solubility,1258900,nM,2.900008766,Solubility
CHEMBL145085,COc1ccc(cn1)[C@H](CC(=O)O)N2CCN(CCCc3ccc4CCCNc4n3)C2=O,Solubility,2500,nM,5.602059991,Solubility
CHEMBL62193,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,Solubility,1288200,nM,2.890016705,Solubility
CHEMBL1762527,COc1ccc(C)c(c1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2,Solubility,11500,nM,4.93930216,Solubility
CHEMBL2023483,COc1ccc2c(Oc3ccc(CC(=O)Nc4n[nH]c(C)c4C)c(OC)c3)ccnc2c1,Solubility,8300,nM,5.080921908,Solubility
CHEMBL2,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4,Solubility,14800,nM,4.829738285,Solubility
CHEMBL2325706,CS(=O)(=O)C1(CCNCC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CCOCC5,Solubility,234400,nM,3.630042393,Solubility
CHEMBL399857,CC1CN(CCc2c([nH]c3sc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6)CCC1C(=O)N7CCOCC7,Solubility,33100,nM,4.480172006,Solubility
CHEMBL346528,Oc1cc(nc2ccnn12)c3ccccc3,Solubility,812800,nM,3.090016305,Solubility
CHEMBL1164649,Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(OC(F)(F)F)cc3,Solubility,11500,nM,4.93930216,Solubility
CHEMBL2088091,Cc1cc(CNc2ncc(Br)c(Nc3cc(C)[nH]n3)n2)on1,Solubility,61700,nM,4.209714836,Solubility
CHEMBL507177,NC(=O)Nc1sc(cc1C(=O)N2CCOCC2)c3ccccc3,Solubility,26900,nM,4.57024772,Solubility
CHEMBL1362574,CC(=O)Nc1nc(ns1)c2ccccc2,Solubility,182000,nM,3.739928612,Solubility
CHEMBL385049,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN5CCC[C@@H]5CO,Solubility,812800,nM,3.090016305,Solubility
CHEMBL550904,CC(C)Oc1cc(Oc2ccc(cc2)S(=O)(=O)C)cc(c1)C(=O)Nc3nccs3,Solubility,5200,nM,5.283996656,Solubility
CHEMBL2325986,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccccc4,Solubility,97700,nM,4.010105436,Solubility
CHEMBL1712280,C1Oc2ccccc2C3=NN(CC13)c4ccccc4,Solubility,200,nM,6.698970004,Solubility
CHEMBL401874,CC(C)CN1C(=O)N(C)C(=O)c2c1nn(Cc3cccc4ccccc34)c2c5ccncc5,Solubility,12900,nM,4.88941029,Solubility
CHEMBL455651,CNC(=O)c1ccc(Nc2ncc(F)c(n2)c3cnc(C)n3C(C)C)cc1F,Solubility,4100,nM,5.387216143,Solubility
CHEMBL1343931,Cc1nc(CS(=O)(=O)c2ccc(Cl)cc2)cc(n1)N3CCOCC3,Solubility,223900,nM,3.649945906,Solubility
CHEMBL374643,COc1ccc(Cn2c(CCc3c[nH]c4ccccc34)nnc2[C@@H](Cc5c[nH]c6ccccc56)NC(=O)C(C)(C)N)cc1,Solubility,182000,nM,3.739928612,Solubility
CHEMBL2325997,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,Solubility,182000,nM,3.739928612,Solubility
CHEMBL2153174,Fc1cccc(F)c1CS(=O)(=O)N2CCN(CC2)c3ncccc3C(F)(F)F,Solubility,2000,nM,5.698970004,Solubility
CHEMBL515311,C[C@H](O)C(=O)N1CCN(CC1)c2ccc(Nc3nccc(n3)c4cnc(C)n4C(C)C)cc2,Solubility,363100,nM,3.439973751,Solubility
CHEMBL164315,OCc1nc(O)c2cc(CN(CC#C)c3ccc(cc3)C(=O)NCc4cccc(c4)[N+](=O)[O-])ccc2n1,Solubility,400,nM,6.397940009,Solubility
CHEMBL2346967,FC(F)(F)c1nnc2ccc(nn12)N3CCN(Cc4ccc(cc4)C#N)CC3,Solubility,11500,nM,4.93930216,Solubility
CHEMBL453651,CNC(=O)c1ccc(Nc2nccc(n2)c3cnc(COC)n3C(C)C)cc1,Solubility,24500,nM,4.610833916,Solubility
CHEMBL2010853,CN([C@@H]1CCN(Cc2nc3cc(F)ccc3s2)C[C@@H]1F)C(=O)Cc4ccc(cc4)S(=O)(=O)C,Solubility,1800,nM,5.744727495,Solubility
CHEMBL2036746,O=C(Nc1ccc(cc1)N2CCOCC2)c3oc(Nc4ccccc4)nn3,Solubility,1700,nM,5.769551079,Solubility
CHEMBL2031238,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cocc5)ccc4C,Solubility,1288200,nM,2.890016705,Solubility
CHEMBL1916282,C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)(C)C,Solubility,1023300,nM,2.989997026,Solubility
CHEMBL2010846,CO[C@@H]1CN(Cc2ccc(cc2)C(F)(F)F)CC[C@@H]1N(C)C(=O)Cc3ccc(cc3)n4cnnn4,Solubility,75900,nM,4.119758224,Solubility
CHEMBL1809045,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4ccccn34)C5CCN(CC5)C(=O)C,Solubility,2200,nM,5.657577319,Solubility
CHEMBL2030439,Fc1ccc(cc1)S(=O)(=O)Cc2cc(nc(n2)c3ccccn3)N4CCOCC4,Solubility,275400,nM,3.560036064,Solubility
CHEMBL406,CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N,Solubility,151400,nM,3.819874125,Solubility
CHEMBL1055,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,Solubility,501200,nM,3.299988938,Solubility
CHEMBL1708188,O=C(NCc1ccccc1)C2=COC(=O)C=C2,Solubility,134900,nM,3.86998805,Solubility
CHEMBL514980,CN(CCOc1ccccc1c2cc(C(=O)N)c(NC(=O)N)s2)Cc3ccccc3,Solubility,1500,nM,5.823908741,Solubility
CHEMBL1573309,CCN(CC)CCn1c2ccccc2c3cnc(N)c(C#N)c13,Solubility,58900,nM,4.229884705,Solubility
CHEMBL216749,COc1cc2c(NC(=O)Nc3c(Cl)cccc3Cl)ncnc2cc1OCC4CCN(C)CC4,Solubility,10000,nM,5,Solubility
CHEMBL87388,COc1ccc(Cn2cc3N(CC(C)C)C(=O)N(C)C(=O)c3c2)cc1,Solubility,17000,nM,4.769551079,Solubility
CHEMBL1186585,FC(F)(F)c1ccc2c(SCCCCCOC3=COC(=CC3=O)CN4CCOCC4)ccnc2c1,Solubility,77600,nM,4.110138279,Solubility
CHEMBL580,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,Solubility,177800,nM,3.750068243,Solubility
CHEMBL2023119,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4ccc(OC)cc34)cc2OC)cn1,Solubility,7100,nM,5.148741651,Solubility
CHEMBL515515,CN(C)CCCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4cccnn34)cc1,Solubility,158500,nM,3.799970733,Solubility
CHEMBL2325698,CC[C@@H]1COCCN1c2cc(nc(n2)c3cccc4[nH]ccc34)C5(CC5)S(=O)(=O)C,Solubility,79400,nM,4.100179498,Solubility
CHEMBL1720929,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)Nc2ccc(Br)cc2,Solubility,23400,nM,4.630784143,Solubility
CHEMBL2086664,C[C@@H]1CN(C[C@H](C)N1c2ncc(OCc3ccc(cc3)S(=O)(=O)C)cn2)C(=O)OC(C)(C)C,Solubility,4100,nM,5.387216143,Solubility
CHEMBL2086689,C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)c4ncc(F)cn4,Solubility,700,nM,6.15490196,Solubility
CHEMBL62788,NC(=O)c1ccccc1NC(=O)Nc2ccc(Cl)c(Cl)c2,Solubility,1500,nM,5.823908741,Solubility
CHEMBL2030446,C[C@H]1COCCN1c2cc(CS(=O)(=O)C)nc(n2)c3ccc4[nH]ccc4c3,Solubility,190500,nM,3.72010502,Solubility
CHEMBL2088093,COCCCc1cc(Nc2nc(NCc3onc(C)c3)ncc2Br)n[nH]1,Solubility,120200,nM,3.920095532,Solubility
CHEMBL87785,C[C@H](CNCCc1ccncc1)c2c([nH]c3ccc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6,Solubility,147900,nM,3.830031826,Solubility
CHEMBL2036587,O=C(Nc1ccc(nc1)N2CCOCC2)c3oc(Nc4ccccc4)nn3,Solubility,1900,nM,5.721246399,Solubility
CHEMBL413997,C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N6CCOCC6,Solubility,166000,nM,3.779891912,Solubility
CHEMBL2158841,OC(=O)[C@H](Cc1ccc(F)cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,Solubility,72400,nM,4.140261434,Solubility
CHEMBL1940104,COc1cccc(NC(=O)Cn2cc(Nc3ncnc4cc(OC)c(OC)cc34)cn2)c1,Solubility,4400,nM,5.356547324,Solubility
CHEMBL1386855,c1ccc(cc1)c2cn3cccnc3n2,Solubility,676100,nM,3.169989064,Solubility
CHEMBL2178369,Cc1nc(C)c(nc1C(=O)N)c2ccc3c(CC[C@@]34CC[C@H](Cc5nnn[nH]5)CC4)c2,Solubility,77600,nM,4.110138279,Solubility
CHEMBL271705,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCOCC4)c23)ccc1OCc5ccccn5,Solubility,2000,nM,5.698970004,Solubility
CHEMBL409493,Nc1ccccc1NC(=O)c2ccc(cc2)C3CCN(Cc4ccc(cc4)C(=O)NC5CC5)CC3,Solubility,6600,nM,5.180456064,Solubility
CHEMBL1229592,COc1cc(ccc1Nc2ncc(Cl)c(Oc3cccc(NC(=O)C=C)c3)n2)N4CCN(C)CC4,Solubility,1000,nM,6,Solubility
CHEMBL455468,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)NC4CCN(C)CC4)n2,Solubility,871000,nM,3.059981845,Solubility
CHEMBL2325738,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCO)c4ccc(Cl)cc4,Solubility,20400,nM,4.690369833,Solubility
CHEMBL2158835,OC(=O)[C@H](Cc1ccccc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,Solubility,13500,nM,4.869666232,Solubility
CHEMBL477567,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)N4CCN(CC4)S(=O)(=O)C)n2,Solubility,8900,nM,5.050609993,Solubility
CHEMBL1834385,Nc1nccc(n1)c2ccccc2,Solubility,575400,nM,3.240030142,Solubility
CHEMBL570015,COc1cccc(Nc2c(cnc3c(C)cc(cc23)S(=O)(=O)c4cccc(c4)C(=O)N(C)C)C(=O)N)c1,Solubility,1100,nM,5.958607315,Solubility
CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c4ccccc24)cc1,Solubility,1400,nM,5.853871964,Solubility
CHEMBL520003,CNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4cccnn34)cc1,Solubility,700,nM,6.15490196,Solubility
CHEMBL1213085,Cc1ccccc1N2C(=Nc3cccc(C)c3C2=O)Cn4nc(c5ccc(O)c(F)c5)c6c(N)ncnc46,Solubility,25100,nM,4.600326279,Solubility
CHEMBL425209,COc1ccc(Cl)c(Nc2ncnc3cc(OCCN4CCOCC4)cc(OC(C)C)c23)n1,Solubility,26900,nM,4.57024772,Solubility
CHEMBL107367,Cc1oc(nc1CCOc2ccc(C[C@H](Nc3ccccc3C(=O)c4ccccc4)C(=O)O)cc2)c5ccccc5,Solubility,35500,nM,4.449771647,Solubility
CHEMBL386996,CC(C)Oc1cc(OCCN2CCN(CC2)C(=O)C)cc3ncnc(Nc4c(F)ccc5OCOc45)c13,Solubility,27500,nM,4.560667306,Solubility
CHEMBL1770471,CSCCC(NC(=O)c1sccc1Cl)c2nc3ccccc3[nH]2,Solubility,25700,nM,4.590066877,Solubility
CHEMBL256363,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N,Solubility,4000,nM,5.397940009,Solubility
CHEMBL1398535,Fc1ccccc1C(=O)Nc2c(cnn2c3ccccc3)C#N,Solubility,47900,nM,4.319664487,Solubility
CHEMBL2094541,COc1cc(OC)nc(n1)N2N=CC(=C(Cl)C2=O)Cl,Solubility,70800,nM,4.149966742,Solubility
CHEMBL1307677,CC(=O)c1noc(C)c1C(=O)Nc2nccs2,Solubility,46800,nM,4.329754147,Solubility
CHEMBL455467,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)N4CCN(C)CC4)n2,Solubility,478600,nM,3.320027306,Solubility
CHEMBL111775,Oc1ccc(CCNCCNC(=O)CCOCCc2ccccc2)c3sc(O)nc13,Solubility,1513600,nM,2.819988881,Solubility
CHEMBL447571,Cc1ccc(\C=C\2/SC(=O)NC2=O)cc1,Solubility,85100,nM,4.07007044,Solubility
CHEMBL100913,Oc1ccc(cc1)c2ccc(cc2)C3(O)CN4CCC3CC4,Solubility,436500,nM,3.360015752,Solubility
CHEMBL1164653,Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(Cl)cc3,Solubility,12600,nM,4.899629455,Solubility
CHEMBL317462,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,Solubility,14800,nM,4.829738285,Solubility
CHEMBL198114,CCN(C1CCN(CCC(c2ccccc2)c3ccc(NS(=O)(=O)C)cc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,Solubility,173800,nM,3.759950228,Solubility
CHEMBL998,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1,Solubility,3500,nM,5.455931956,Solubility
CHEMBL1940272,CCn1cc(NC(=O)Cc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)cn1,Solubility,24000,nM,4.619788758,Solubility
CHEMBL56942,COc1cc(OC)cc(c1)c2cc3cnc(N)nc3nc2N,Solubility,15800,nM,4.801342913,Solubility
CHEMBL1078983,COc1ccc(cc1CO)c2ccc3c(nc(nc3n2)N4C[C@@H](C)O[C@@H](C)C4)N5CCOCC5,Solubility,2500,nM,5.602059991,Solubility
CHEMBL2152903,CCN1C=C(C=C(C)C1=O)[C@@]2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncc(c5)C#CC,Solubility,91200,nM,4.040005162,Solubility
CHEMBL119247,CCn1c2ccccc2c3cc(NC(=O)N4CCOCC4)ccc13,Solubility,2900,nM,5.537602002,Solubility
CHEMBL507202,Nc1nccc(\C=C\c2c(Cl)nc3sccn23)n1,Solubility,323600,nM,3.489991487,Solubility
CHEMBL382823,COCCN(Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)[C@@H](C)C(=O)N,Solubility,166000,nM,3.779891912,Solubility
CHEMBL196444,Fc1ccc(CC2=NNC(=O)c3ccccc23)cc1N4C(=O)CCC4=O,Solubility,9100,nM,5.040958608,Solubility
CHEMBL2325714,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc(N)c3)N4CCOCC4,Solubility,13200,nM,4.879426069,Solubility
CHEMBL2023350,CN1CCC(CC1)n2cc(c(C)n2)c3cnc(N)c(c3)c4oc5ccccc5n4,Solubility,21400,nM,4.669586227,Solubility
CHEMBL399779,C[C@H](CNC(=O)N1CCC(CC1)c2ccncc2)c3c([nH]c4sc(cc34)C(C)(C)C(=O)N5C6CCC5CC6)c7cc(C)cc(C)c7,Solubility,600,nM,6.22184875,Solubility
CHEMBL2086662,C[C@H]1CN(CCN1C(=O)OC(C)(C)C)c2ncc(OCc3ccc(cc3)S(=O)(=O)C)cn2,Solubility,2200,nM,5.657577319,Solubility
CHEMBL1824375,Oc1cccc(NC(=O)c2ccc(OCCCN3CCCC3)cc2OCc4cccnc4)c1,Solubility,218800,nM,3.659952682,Solubility
CHEMBL324028,O=C(Nc1ccc2c(c1)c3ccccc3n2C4CCOC4)N5CCOCC5,Solubility,19100,nM,4.718966633,Solubility
CHEMBL438536,Cc1cc(Nc2ncnc3[nH]nc(OCCN4CCC(O)CC4)c23)ccc1OCc5cccc(F)c5,Solubility,6800,nM,5.167491087,Solubility
CHEMBL2336331,C[C@@H]1CN(C[C@H](C)O1)c2nc(N3CCOC[C@@H]3C)c4ccc(nc4n2)c5ccccc5,Solubility,66100,nM,4.179798541,Solubility
CHEMBL300429,CC(=O)Nc1ccc(cc1)c2ccccc2,Solubility,79400,nM,4.100179498,Solubility
CHEMBL2029359,CS(=O)(=O)Cc1cc(nc(n1)c2cnc3[nH]ccc3c2)N4CCOCC4,Solubility,47900,nM,4.319664487,Solubility
CHEMBL260135,Nc1n[nH]c2nnc(c3ccccc3)c(c4ccccc4)c12,Solubility,15800,nM,4.801342913,Solubility
CHEMBL251388,Cc1cc(C)cc(c1)c2[nH]c3sc(cc3c2CCN4CCC(CC4)C(=O)N5CCCC(O)C5)C(C)(C)C(=O)N6C7CCC6CC7,Solubility,87100,nM,4.059981845,Solubility
CHEMBL1471078,O=C(N1CCc2ccccc12)c3ccccc3,Solubility,91200,nM,4.040005162,Solubility
